Product Name,Actual Category,Top 5 Categories
Hannahcos 3 Packs Dance Underwear High Cut Ballets Dance Briefs Seamless Gymnastic Underwear Short Pants For Women and Girls,Fashion/Girls/Clothing/Underwear/Knickers,"['Fashion/Girls/Clothing/Underwear/Sets', 'Fashion/Girls/Clothing/Underwear/Knickers', 'Fashion/Women/Clothing/Nightwear, Lingerie & Underwear/Nightwear/Bottoms', 'Fashion/Women/Clothing/Nightwear, Lingerie & Underwear/Lingerie & Underwear/Slips/Full Slips', 'Fashion/Women/Clothing/Activewear/Sets/Workout Top & Bottom Sets']"
Trespass Kids' Waterproof Drip Drop Outdoor Rain Suit,Fashion/Boys/Clothing/Snow & Rainwear/Rain Trousers,"['Fashion/Boys/Clothing/Snow & Rainwear/Raincoats', 'Fashion/Girls/Clothing/Snow & Rainwear/Raincoats', 'Fashion/Boys/Clothing/Coats, Jackets & Gilets/Raincoats', 'Fashion/Girls/Clothing/Coats, Jackets & Gilets/Raincoats', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Raincoats']"
Pokemon Hoodie For Girls | Pikachu Hoodie | Girls Yellow Hoodie | Ages 5 To 12 Years,Fashion/Girls/Clothing/Activewear/Hoodies & Sweatshirts/Hoodies,"['Fashion/Girls/Clothing/Hoodies & Sweatshirts/Hoodies', 'Fashion/Girls/Clothing/Activewear/Hoodies & Sweatshirts/Hoodies', 'Fashion/Girls/Clothing/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Girls/Clothing/Activewear/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Girls/Clothing/Coats, Jackets & Gilets/Raincoats']"
Olata Elasticated Clip On Girls Y-Shape Braces/Suspenders with Flower Design (1-5 Years) - 2.5cm,Fashion/Girls/Accessories/Braces,"['Fashion/Girls/Accessories/Braces', 'Fashion/Women/Accessories/Braces', 'Fashion/Girls/Accessories/Belts', 'Fashion/Girls/Accessories/Scarves', 'Fashion/Girls/Accessories/Earmuffs']"
orbiz Kids Thermal Base Layer Set Winter Warm Underwear Full Set Long John Bottom and Long Sleeve Top,Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Sets,"['Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Bottoms', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Tops', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Sets', 'Fashion/Boys/Clothing/Underwear/Thermal/Thermal Bottoms', 'Fashion/Boys/Clothing/Underwear/Thermal/Thermal Tops']"
TRIWONDER Kids Balaclava Hat Winter Neck Warmer Hood Ski Fleece Hat Children Warm Ski Cap for Snowboarding Hiking Cycling,Fashion/Boys/Accessories/Balaclavas,"['Fashion/Boys/Accessories/Cold Weather Sets', 'Fashion/Men/Accessories/Hats & Caps/Balaclavas', 'Fashion/Boys/Accessories/Balaclavas', 'Fashion/Boys/Accessories/Hats & Caps/Skullies & Beanies', 'Fashion/Men/Accessories/Cold Weather Sets']"
"Cute Cartoon Sling Bag for Little Boys Astronaut Airplane Dinosaur Chest Bag Samll Crossbody Bag Casual Daypack Shouder Bag, Shark, One Size",Fashion/Boys/Handbags & Shoulder Bags,"['Fashion/Luggage & Travel Gear/Backpacks/Casual Daypacks', ""Fashion/Luggage & Travel Gear/Handbags & Shoulder Bags/Boys' Bags"", 'Fashion/Boys/Handbags & Shoulder Bags', ""Fashion/Luggage & Travel Gear/Backpacks/Children's Backpacks"", ""Fashion/Luggage & Travel Gear/School Bags, Pencil Cases & Sets/Children's Backpacks""]"
NIKE Unisex Kids Y Nk Df Acd23 Top Ss T-Shirt,Fashion/Boys/Clothing/Activewear/Shirts & Tees/T-Shirts,"['Fashion/Baby/Clothing/Unisex', 'Fashion/Boys/Clothing/Activewear/Shirts & Tees/T-Shirts', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/T-Shirts', 'Fashion/Girls/Clothing/Activewear/Shirts & Tees/T-Shirts', 'Fashion/Girls/Clothing/Tops, T-Shirts & Blouses/T-Shirts']"
adidas Unisex Kids Entrada 22 Sweat Hoodie Hooded Sweat,Fashion/Boys/Clothing/Activewear/Hoodies & Sweatshirts/Hoodies,"['Fashion/Boys/Clothing/Activewear/Hoodies & Sweatshirts/Hoodies', 'Fashion/Boys/Clothing/Activewear/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Boys/Clothing/Hoodies & Sweatshirts/Hoodies', 'Fashion/Boys/Clothing/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Boys/Clothing/Activewear/Sets/Sweatsuits']"
Keanu Heatforce Kids Thermal Vests - Pack of 5 - Winter Warm 0.45 TOG Brushed Underwear - Ages 3-15 Years,Fashion/Boys/Clothing/Underwear/Thermal/Thermal Tops,"['Fashion/Girls/Clothing/Underwear/Thermal/Thermal Sets', 'Fashion/Boys/Clothing/Underwear/Thermal/Thermal Sets', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Sets', 'Fashion/Boys/Clothing/Underwear/Thermal/Thermal Tops', 'Fashion/Girls/Clothing/Underwear/Thermal/Thermal Tops']"
Boys and Girls LED Roller Skates Shoes with Double Wheels Trainers Technical Retractable Skateboarding Shoes for Kids Light up Shiny Luminous Sneakers Best Gift for Party Birthday Christmas Day,Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Technical Skateboarding Shoes,"['Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Technical Skateboarding Shoes', 'Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Technical Skateboarding Shoes', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Cross Trainers', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Running Shoes/Road Running Shoes', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Running Shoes/Trail Running Shoes']"
"U7 Awesome Cool Tiger/Dragon Stainless Steel Rings for Men Boys, Punk Gothic Ring Jewellery, Silver/Black/Gold Plated Color, Name Customizable, Size #7-14, Send Gift Box",Fashion/Boys/Jewellery/Rings,"['Fashion/Boys/Jewellery/Rings', 'Fashion/Men/Jewellery/Rings', 'Fashion/Novelty Jewellery/Rings', 'Fashion/Novelty Jewellery/Jewellery Sets', 'Fashion/Men/Jewellery/Pendants']"
ALBOYI 6 Pack Tie Clip Skinny Tie Bar for Mens Square Edges Tie Tack Necktie Bar Pinch Clips Metal Bar Pin Shirt Wedding Business Mandatory(Silver/Gold/Black),Fashion/Boys/Jewellery/Cufflinks & Shirt Accessories/Tie Pins,"['Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Tie Clips', 'Fashion/Novelty Jewellery/Cufflinks & Shirt Accessories/Tie Clips', 'Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Tie Pins', 'Fashion/Novelty Jewellery/Cufflinks & Shirt Accessories/Tie Pins', 'Fashion/Men/Accessories/Ties, Cummerbunds & Pocket Squares/Sets']"
famuka Baby Winter Warm Down Snowsuits Hooded Puffer Outwear,Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snowsuits,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snow Trousers & Bibs', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snow Trousers & Bibs', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Raincoats']"
Kickers Unisex Kid's Kick T Bar Black School Shoes,Fashion/Boys/Shoes/Lace-ups,"['Fashion/Girls/Shoes/Sandals', 'Fashion/Girls/Shoes/Court Shoes', 'Fashion/Girls/Shoes/Ballet Flats', ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Girls'/Skirts, Scooters & Skorts"", 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Cheerleading Shoes']"
Ruffnek DINOSAURS Multifunctional tube scarf neck warmer snood - for Children/Adults - Unisex One Size,Fashion/Boys/Accessories/Neckerchiefs,"['Fashion/Novelty & Special Use Clothing/Novelty/Accessories/Head Scarves', 'Fashion/Women/Accessories/Scarves & Wraps/Head Scarves', 'Fashion/Women/Accessories/Scarves & Wraps/Neckerchiefs', ""Fashion/Novelty & Special Use Clothing/Traditional Clothing/German Traditional Costumes/Women's/Accessories/Neckerchiefs"", 'Fashion/Novelty & Special Use Clothing/Novelty/Tops & Tees/T-Shirts']"
LitBud Toddler Boys Dinosaur Pyjamas Dinosaur Long Sleeve Nightwear Sleepwear Pjs Set Sleepsuit 2pcs for Kids for 2-10 Years,Fashion/Boys/Clothing/Sleepwear & Robes/Pyjama Tops,"['Fashion/Boys/Clothing/Sleepwear & Robes/Pyjama Sets', 'Fashion/Boys/Clothing/Sleepwear & Robes/Sleepsuits', 'Fashion/Boys/Clothing/Sleepwear & Robes/Pyjama Bottoms', 'Fashion/Boys/Clothing/Sleepwear & Robes/Pyjama Tops', 'Fashion/Girls/Clothing/Sleepwear & Robes/Pyjama Sets']"
Levi's Boys 511 Skinny Fit Jean,Fashion/Boys/Clothing/Jeans,"['Fashion/Boys/Clothing/Jeans', 'Fashion/Boys/Clothing/Trousers', 'Fashion/Boys/Clothing/Shorts', 'Fashion/Boys/Clothing/Activewear/Sets/Sweatsuits', 'Fashion/Boys/Clothing/Coats, Jackets & Gilets/Gilets']"
Disney Boys Cars Underwear Pack of 5,Fashion/Boys/Clothing/Underwear/Sets,"['Fashion/Boys/Clothing/Underwear/Sets', 'Fashion/Boys/Clothing/Underwear/Briefs', 'Fashion/Boys/Clothing/Underwear/Boxers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets', 'Fashion/Girls/Clothing/Underwear/Sets']"
WB SOCKS 2 pairs of Plain White Baby Tights,Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Tights,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Tights', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Tights', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Socks', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Leg Warmers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Leg Warmers']"
TOMS Unisex Kid's Alpargata Espadrilles,Fashion/Boys/Shoes/Espadrilles,"['Fashion/Boys/Shoes/Espadrilles', 'Fashion/Girls/Shoes/Espadrilles', 'Fashion/Girls/Shoes/Boots', 'Fashion/Boys/Shoes/Sandals', 'Fashion/Boys/Shoes/Boots']"
Bearbay Baby Sock Shoes Baby Walking Shoes Infant Non-Slip Breathable Slippers with Soft Rubber Sole Baby Boys Girls Sneakers,Fashion/Baby/Shoes/Baby Boys/First Walking Shoes,"['Fashion/Baby/Shoes/Baby Girls/First Walking Shoes', 'Fashion/Baby/Shoes/Baby Boys/First Walking Shoes', 'Fashion/Baby/Shoes/Baby Girls/Slippers', 'Fashion/Baby/Shoes/Baby Boys/Slippers', 'Fashion/Baby/Shoes/Baby Girls/Trainers']"
"Health Fitness Tracker with 24/7 Heart Rate, Blood Oxygen, Blood Pressure, Sleep Tracker, Step Counter, 5ATM Waterproof Activity Trackers and Smart Watches for Women Men Kids (S & L Bands Included)",Fashion/Boys/Watches/Fashion Smartwatches,"['Fashion/Boys/Watches/Fashion Smartwatches', 'Fashion/Shoe, Jewellery & Watch Accessories/Watch Accessories/Repair Tools & Kits', 'Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Trekking & Hiking Footwear/Trekking & Hiking Boots', 'Fashion/Men/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Trekking & Hiking Footwear/Trekking & Hiking Boots', 'Fashion/Men/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Trekking & Hiking Footwear/Trekking & Hiking Shoes']"
Heatwave Pack of 2 Boys Thermal Trousers Long Johns Black Winter Warm Underwear Baselayer Camping Ski Pants School wear,Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Bottoms,"['Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Bottoms', 'Fashion/Boys/Clothing/Underwear/Thermal/Thermal Bottoms', 'Fashion/Boys/Clothing/Snow & Rainwear/Snow Trousers & Bibs', ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Trousers"", 'Fashion/Boys/Clothing/Activewear/Trousers/Sweatpants']"
"Cotton Coming Pink Cotton Baby Girl Socks, 9 Pairs Cute Socks for Baby Girls",Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Socks,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Socks', 'Fashion/Girls/Clothing/Socks, Tights & Leggings/Socks', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Tights', 'Fashion/Girls/Clothing/Socks, Tights & Leggings/Liners & Ankle Socks', 'Fashion/Girls/Clothing/Socks, Tights & Leggings/Knee-High Socks']"
HAYOUWAY Silber Halskette Hundemark Ketten mit Anhänger Edelstahl Herrenschmuck für Herren Sohn Jungen Geburtstagsgeschenk von Mama Papa,Fashion/Boys/Jewellery/Pendants,"['Fashion/Men/Jewellery/Rings', 'Fashion/Men/Jewellery/Earrings', 'Fashion/Men/Jewellery/Bracelets', 'Fashion/Men/Jewellery/Necklaces', 'Fashion/Men/Jewellery/Jewellery Sets']"
Spring&Gege Boys' Long Sleeve Solid Formal Uniform Cotton Twill Dress Shirts,"Fashion/Men/Clothing/Tops, T-Shirts & Shirts/Shirts/Formal Shirts","['Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Long Sleeve Tops', ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Tops"", ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Sets"", 'Fashion/Boys/Clothing/Suits & Blazers/Tuxedos', 'Fashion/Boys/Clothing/Suits & Blazers/Suits']"
RIPT Boy's Quick Dry UV 50 Sun Protection Peach Finish Swimming Swim Shorts Trunks,Fashion/Boys/Clothing/Swimwear/Shorts & Trunks,"['Fashion/Boys/Clothing/Swimwear/Shorts & Trunks', 'Fashion/Boys/Clothing/Swimwear/Briefs', 'Fashion/Boys/Clothing/Swimwear/Rash Guards', 'Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Water Shoes', 'Fashion/Boys/Clothing/Snow & Rainwear/Rain Trousers']"
HOPLYNN Boys' Long Sleeve Base Layer Compression Athletic Running Baseball Soccer Shirt Tights,Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Shirts,"['Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Shirts', 'Fashion/Boys/Clothing/Activewear/Shirts & Tees/Long Sleeve Tops', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Long Sleeve Tops', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Tops', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Sets']"
Fitflop Unisex Kid's Iqushion Junior Ergonomic Flip-Flops,Fashion/Boys/Shoes/Flip Flops & Thongs,"['Fashion/Boys/Shoes/Flip Flops & Thongs', 'Fashion/Girls/Shoes/Flip Flops & Thongs', 'Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Beach Flip Flops & Pool Slides', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Beach Flip Flops & Pool Slides', 'Fashion/Men/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Beach Flip Flops & Pool Slides']"
adidas Unisex Kids Entrada 22 Training Top Sweatshirt (Long Sleeve),Fashion/Boys/Clothing/Activewear/Hoodies & Sweatshirts/Sweatshirts,"['Fashion/Boys/Clothing/Activewear/Shirts & Tees/Long Sleeve Tops', 'Fashion/Girls/Clothing/Activewear/Shirts & Tees/Long Sleeve Tops', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Long Sleeve Tops', 'Fashion/Boys/Clothing/Activewear/Sets/Workout Top & Bottom Sets', 'Fashion/Boys/Clothing/Activewear/Sets/Sweatsuits']"
ALLY-MAGIC Kids Scarves Autumn Winter Knit Scarf Warm Solid Color Neckerchiefs Collar Neck Warmer Y6-BZWJ,Fashion/Girls/Accessories/Scarves,"['Fashion/Girls/Accessories/Neckerchiefs', 'Fashion/Boys/Accessories/Neckerchiefs', 'Fashion/Boys/Accessories/Cold Weather Sets', 'Fashion/Boys/Accessories/Scarves', 'Fashion/Girls/Accessories/Scarves']"
"Under Armour Boys Leadoff Low Junior Rubber Molded Baseball Cleat, Black, 5.5 Big Kid",Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Baseball Shoes,"['Fashion/Boys/Accessories/Hats & Caps/Baseball Caps', 'Fashion/Boys/Accessories/Gloves & Mittens', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Armwarmers', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Shorts', 'Fashion/Boys/Clothing/Activewear/Underwear/Shorts']"
PUMA Unisex Kid's Varion Ii Jr Indoor Court Shoe,Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Indoor Court Shoes,"['Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Indoor Court Shoes', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Indoor Court Shoes', 'Fashion/Men/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Indoor Court Shoes', 'Fashion/Women/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Indoor Court Shoes', 'Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Tennis Shoes']"
"EYQV Gifts for Men Boys, Cuban Chain Necklace Special Gifts for Dad Stepdad Grandad Daddy, Birthday Christmas Graduation Gifts for Him Son Grandson Brother Nephew",Fashion/Boys/Jewellery/Necklaces,"['Fashion/Boys/Jewellery/Necklaces', 'Fashion/Men/Jewellery/Necklaces', 'Fashion/Novelty Jewellery/Necklaces & Pendants/Chains', 'Fashion/Men/Jewellery/Bracelets', 'Fashion/Men/Jewellery/Jewellery Sets']"
LZH Baby Girls Lace Embroidery Dress Bowknot Party Dress Bridesmaid Wedding Gown with Headwear,Fashion/Baby/Clothing/Baby Girls 0-24m/Dresses,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Christening Gowns', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Dresses', 'Fashion/Girls/Clothing/Dresses/Special Occasion', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Sleepwear & Robes/Robes', 'Fashion/Baby/Shoes/Baby Girls/Trainers']"
Kickers Fragma Boys Lace Up School Shoe in Black,Fashion/Boys/Shoes/Lace-ups,"['Fashion/Boys/Shoes/Lace-ups', 'Fashion/Boys/Shoes/Loafer Flats', 'Fashion/Boys/Shoes/Boots', 'Fashion/Men/Shoes/Lace-ups', 'Fashion/Boys/Shoes/Boat Shoes']"
"Airfish 4 pcs Tie Bar Clip, Business Tie Clip Pin for Men, Silver Personalized Necktie Pinch Clip Accessories for Wedding Boyfriend Gift Father's Day Valentine's Day",Fashion/Boys/Jewellery/Cufflinks & Shirt Accessories/Tie Clips,"['Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Tie Pins', 'Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Tie Clips', 'Fashion/Novelty Jewellery/Cufflinks & Shirt Accessories/Tie Pins', 'Fashion/Novelty Jewellery/Cufflinks & Shirt Accessories/Tie Clips', 'Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Cufflinks']"
Regatta Westshore Jnr Kids Active Sandals,Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Sports & Outdoor Sandals,"['Fashion/Boys/Shoes/Sandals', 'Fashion/Girls/Shoes/Sandals', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Sports & Outdoor Sandals', 'Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Sports & Outdoor Sandals', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Water Shoes']"
ZECO Boy's Slim Fit School Trousers (3-17 Years),Fashion/Boys/Clothing/Trousers,"['Fashion/Boys/Clothing/Trousers', ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Trousers"", 'Fashion/Boys/Clothing/Suits & Blazers/Suit Trousers', 'Fashion/Boys/Clothing/Suits & Blazers/Blazers', 'Fashion/Boys/Clothing/Suits & Blazers/Tuxedos']"
CheChury Kid Thermal Winter Warm Underwear Set Boys Long Johns Bottom Long Sleeve Top Fleece Lined Athletic Shirt and Leggings Set for Outdoor Football Basketball,Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Sets,"['Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Sets', 'Fashion/Boys/Clothing/Underwear/Thermal/Thermal Sets', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Tops', 'Fashion/Boys/Clothing/Activewear/Base Layers & Compression/Thermal Underwear/Thermal Bottoms', 'Fashion/Boys/Clothing/Activewear/Sets/Workout Top & Bottom Sets']"
ShopMCR 3 Pairs Unisex Kids Boys Girls Back to School Socks Premium Knee High Cotton Rich Plain Daily Wear Children Socks,Fashion/Boys/Clothing/Socks & Hosiery/Socks/Knee-High Socks,"['Fashion/Girls/Clothing/Socks, Tights & Leggings/Knee-High Socks', 'Fashion/Boys/Clothing/Socks & Hosiery/Socks/Knee-High Socks', 'Fashion/Girls/Clothing/Socks, Tights & Leggings/Socks', 'Fashion/Girls/Clothing/Socks, Tights & Leggings/Liners & Ankle Socks', 'Fashion/Boys/Clothing/Socks & Hosiery/Socks/Calf Socks']"
CareTec Unisex Kid's Rain Overall-Pu W. Fleece Trousers,Fashion/Boys/Clothing/Snow & Rainwear/Rain Trousers,"['Fashion/Boys/Clothing/Snow & Rainwear/Rain Trousers', 'Fashion/Girls/Clothing/Snow & Rainwear/Rain Trousers', 'Fashion/Girls/Clothing/Snow & Rainwear/Snow Trousers & Bibs', 'Fashion/Girls/Clothing/Snow & Rainwear/Raincoats', 'Fashion/Boys/Clothing/Snow & Rainwear/Raincoats']"
"LINXINS Football Bracelets for Boys, Football Gifts for Teenage Boys Age 8 9 10 11 12 13 14 15 Years Old, Birthday Christmas Graduation Gifts for Son Grandson Nephew Brother",Fashion/Boys/Jewellery/Bracelets,"['Fashion/Boys/Jewellery/Bracelets', 'Fashion/Boys/Jewellery/Necklaces', 'Fashion/Boys/Jewellery/Cufflinks & Shirt Accessories/Cufflinks', 'Fashion/Boys/Jewellery/Pendants', 'Fashion/Boys/Jewellery/Rings']"
LEOCI Football Shoes for Kids Boys and Girls Firm Ground Womens Durable Soccer Shoes Outdoor Football Anti-Slip Sneakers,Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Football Boots,"['Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Futsal Shoes', 'Fashion/Girls/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/American Football Shoes', 'Fashion/Men/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Futsal Shoes', 'Fashion/Women/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Futsal Shoes', 'Fashion/Boys/Shoes/Fashion & Athletic Trainers/Sports & Outdoor Shoes/Football Boots']"
Bella Canvas Baby Crew Neck T-Shirt,Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/T-Shirts,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Tops/T-Shirts', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/T-Shirts', 'Fashion/Baby/Shoes/Baby Girls/Trainers']"
adidas Unisex Kids Entrada 22 Shorts Shorts (1/4),Fashion/Boys/Clothing/Activewear/Shorts,"['Fashion/Boys/Clothing/Shorts', 'Fashion/Boys/Clothing/Activewear/Underwear/Shorts', 'Fashion/Boys/Clothing/Activewear/Shorts', 'Fashion/Girls/Clothing/Activewear/Shorts', 'Fashion/Girls/Clothing/Shorts']"
Crocs Unisex Kids Classic Clog K Clogs,Fashion/Boys/Shoes/Clogs & Mules,"['Fashion/Boys/Shoes/Clogs & Mules', 'Fashion/Girls/Shoes/Clogs & Mules', 'Fashion/Men/Shoes/Clogs & Mules', 'Fashion/Boys/Shoes/Flip Flops & Thongs', 'Fashion/Girls/Shoes/Flip Flops & Thongs']"
"Hoesh Men's Silver & Black shirt studs Set - 6 Pack Gift Box Shirt Stud, cufflinks, boyfriend, husband birthday gift for him, christmas present",Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Shirt Studs,"['Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Shirt Studs', 'Fashion/Men/Jewellery/Cufflinks & Shirt Accessories/Cufflinks', 'Fashion/Men/Jewellery/Jewellery Sets', 'Fashion/Shoe, Jewellery & Watch Accessories/Jewellery Accessories/Boxes & Organisers/Chests', 'Fashion/Luggage & Travel Gear/Accessories/Keyrings & Keychains/Men']"
Uitndvyte Bowknot Boot Socks Leg Warmers For Teen Girls Long Leg Cover Knee Stockings Child Socks Ankle Heap Sock Breathable,Fashion/Girls/Clothing/Activewear/Base Layers & Compression/Legwarmers,"['Fashion/Girls/Shoes/Boots', 'Fashion/Girls/Clothing/Socks, Tights & Leggings/Socks', 'Fashion/Women/Clothing/Socks & Tights/Leg Warmers', 'Fashion/Girls/Clothing/Socks, Tights & Leggings/Knee-High Socks', 'Fashion/Girls/Clothing/Activewear/Base Layers & Compression/Compression Socks']"
DRY KIDS Childrens Waterproof Over Trousers. Boys and Girls Rainwear for Outdoor Play,Fashion/Boys/Clothing/Snow & Rainwear/Rain Trousers,"['Fashion/Boys/Clothing/Snow & Rainwear/Rain Trousers', 'Fashion/Girls/Clothing/Snow & Rainwear/Rain Trousers', 'Fashion/Boys/Clothing/Snow & Rainwear/Raincoats', 'Fashion/Girls/Clothing/Snow & Rainwear/Raincoats', 'Fashion/Girls/Clothing/Coats, Jackets & Gilets/Raincoats']"
Geyoga 2 Hole Knitted Ski Mask Full Face Cover Warm Balaclava Knitted Winter Face Mask for Outdoor Sports,Fashion/Men/Accessories/Hats & Caps/Balaclavas,"['Fashion/Luggage & Travel Gear/Accessories/Cloth Face Masks', 'Fashion/Men/Accessories/Hats & Caps/Balaclavas', 'Fashion/Women/Accessories/Hats & Caps/Balaclavas', 'Fashion/Men/Accessories/Cold Weather Sets', 'Fashion/Women/Accessories/Cold Weather Sets']"
Soft Touch Royal Icon Newborn Baby Booties Baby Boys Girls Knitted Booties 1 Pair Plain Bootees NB-3 Months 1118,Fashion/Baby/Shoes/Baby Girls/Booties,"['Fashion/Baby/Shoes/Baby Girls/Booties', 'Fashion/Baby/Shoes/Baby Boys/Booties', 'Fashion/Baby/Clothing/Unisex', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Knitwear', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Knitwear']"
